"Kod";"Nazwa";"ogółem;ogółem;2015;[szt.]";"ogółem;ogółem;2016;[szt.]";"ogółem;ogółem;2017;[szt.]";"ogółem;ogółem;2018;[szt.]";"ogółem;do 40 m2;2015;[szt.]";"ogółem;do 40 m2;2016;[szt.]";"ogółem;do 40 m2;2017;[szt.]";"ogółem;do 40 m2;2018;[szt.]";"ogółem;od 40,1 do 60 m2;2015;[szt.]";"ogółem;od 40,1 do 60 m2;2016;[szt.]";"ogółem;od 40,1 do 60 m2;2017;[szt.]";"ogółem;od 40,1 do 60 m2;2018;[szt.]";"ogółem;od 60,1 do 80 m2;2015;[szt.]";"ogółem;od 60,1 do 80 m2;2016;[szt.]";"ogółem;od 60,1 do 80 m2;2017;[szt.]";"ogółem;od 60,1 do 80 m2;2018;[szt.]";"ogółem;od 80,1 m2;2015;[szt.]";"ogółem;od 80,1 m2;2016;[szt.]";"ogółem;od 80,1 m2;2017;[szt.]";"ogółem;od 80,1 m2;2018;[szt.]";"rynek pierwotny;ogółem;2015;[szt.]";"rynek pierwotny;ogółem;2016;[szt.]";"rynek pierwotny;ogółem;2017;[szt.]";"rynek pierwotny;ogółem;2018;[szt.]";"rynek pierwotny;do 40 m2;2015;[szt.]";"rynek pierwotny;do 40 m2;2016;[szt.]";"rynek pierwotny;do 40 m2;2017;[szt.]";"rynek pierwotny;do 40 m2;2018;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2015;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2016;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2017;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2018;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2015;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2016;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2017;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2018;[szt.]";"rynek pierwotny;od 80,1 m2;2015;[szt.]";"rynek pierwotny;od 80,1 m2;2016;[szt.]";"rynek pierwotny;od 80,1 m2;2017;[szt.]";"rynek pierwotny;od 80,1 m2;2018;[szt.]";"rynek wtórny;ogółem;2015;[szt.]";"rynek wtórny;ogółem;2016;[szt.]";"rynek wtórny;ogółem;2017;[szt.]";"rynek wtórny;ogółem;2018;[szt.]";"rynek wtórny;do 40 m2;2015;[szt.]";"rynek wtórny;do 40 m2;2016;[szt.]";"rynek wtórny;do 40 m2;2017;[szt.]";"rynek wtórny;do 40 m2;2018;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2015;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2016;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2017;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2018;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2015;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2016;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2017;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2018;[szt.]";"rynek wtórny;od 80,1 m2;2015;[szt.]";"rynek wtórny;od 80,1 m2;2016;[szt.]";"rynek wtórny;od 80,1 m2;2017;[szt.]";"rynek wtórny;od 80,1 m2;2018;[szt.]";
1401000;"Powiat białobrzeski";12;19;26;;0;9;6;;9;7;13;;0;3;7;;0;0;0;;0;0;3;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;12;19;23;;0;9;6;;9;7;11;;0;3;6;;0;0;0;;
1402000;"Powiat ciechanowski";253;190;281;;55;54;63;;137;68;137;;50;62;76;;11;6;5;;11;81;172;;0;29;33;;0;24;90;;5;26;49;;3;0;0;;242;109;109;;53;25;30;;136;44;47;;45;36;27;;8;4;5;;
1403000;"Powiat garwoliński";4;31;10;;0;6;3;;3;19;3;;0;4;4;;0;0;0;;0;4;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;4;27;10;;0;6;3;;3;17;3;;0;3;4;;0;0;0;;
1404000;"Powiat gostyniński";42;57;94;;13;21;25;;18;30;41;;10;6;26;;0;0;0;;8;7;34;;0;0;0;;6;6;21;;0;0;11;;0;0;0;;34;50;60;;13;20;24;;12;24;20;;9;6;15;;0;0;0;;
1405000;"Powiat grodziski";117;192;211;;36;50;44;;40;67;73;;9;12;23;;32;63;71;;20;34;67;;0;9;9;;0;9;25;;4;0;7;;12;14;26;;97;158;144;;34;41;35;;38;58;48;;5;10;16;;20;49;45;;
1406000;"Powiat grójecki";20;133;136;;11;44;39;;6;52;48;;3;23;44;;0;14;5;;0;37;52;;0;11;12;;0;19;12;;0;7;24;;0;0;4;;20;96;84;;11;33;27;;6;33;36;;3;16;20;;0;14;0;;
1407000;"Powiat kozienicki";102;67;77;;31;20;31;;63;40;39;;7;6;7;;0;0;0;;23;7;0;;7;5;0;;14;0;0;;0;0;0;;0;0;0;;79;60;77;;24;15;31;;49;38;39;;5;6;7;;0;0;0;;
1408000;"Powiat legionowski";303;407;558;;89;105;121;;143;194;274;;58;71;112;;13;37;51;;127;201;221;;43;56;51;;58;94;114;;22;28;39;;4;23;17;;176;206;337;;46;49;70;;85;100;160;;36;43;73;;9;14;34;;
1409000;"Powiat lipski";0;0;5;;0;0;3;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;5;;0;0;3;;0;0;0;;0;0;0;;0;0;0;;
1410000;"Powiat łosicki";48;37;6;;15;11;0;;28;19;6;;5;7;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;47;37;6;;15;11;0;;27;19;6;;5;7;0;;0;0;0;;
1411000;"Powiat makowski";0;0;12;;0;0;6;;0;0;0;;0;0;4;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;12;;0;0;6;;0;0;0;;0;0;4;;0;0;0;;
1412000;"Powiat miński";416;398;510;;57;64;104;;232;208;296;;103;92;86;;24;34;24;;341;249;328;;38;35;54;;194;138;203;;91;58;58;;18;18;13;;75;149;182;;19;29;50;;38;70;93;;12;34;28;;6;16;11;;
1413000;"Powiat mławski";237;213;279;;47;63;86;;145;98;121;;37;42;66;;8;10;6;;129;125;153;;17;28;48;;98;60;65;;12;29;40;;0;8;0;;108;88;126;;30;35;38;;47;38;56;;25;13;26;;6;0;6;;
1414000;"Powiat nowodworski";416;336;382;;103;144;120;;230;114;164;;54;57;75;;29;21;23;;253;149;158;;56;71;40;;149;35;71;;30;33;32;;18;10;15;;163;187;224;;47;73;80;;81;79;93;;24;24;43;;11;11;8;;
1415000;"Powiat ostrołęcki";3;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;3;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;
1416000;"Powiat ostrowski";66;42;34;;24;14;12;;39;21;20;;3;7;0;;0;0;0;;20;3;0;;8;0;0;;12;0;0;;0;0;0;;0;0;0;;46;39;34;;16;13;12;;27;19;20;;3;7;0;;0;0;0;;
1417000;"Powiat otwocki";168;217;283;;34;53;52;;85;106;130;;36;35;56;;13;23;45;;33;72;139;;5;10;17;;14;37;71;;7;15;25;;7;10;26;;135;145;144;;29;43;35;;71;69;59;;29;20;31;;6;13;19;;
1418000;"Powiat piaseczyński";734;821;555;;123;155;123;;312;299;236;;146;179;92;;153;188;104;;265;241;36;;8;9;0;;90;61;14;;73;76;0;;94;95;19;;469;580;519;;115;146;121;;222;238;222;;73;103;91;;59;93;85;;
1419000;"Powiat płocki";34;54;38;;11;13;11;;10;31;20;;11;8;6;;0;0;0;;5;19;6;;0;0;0;;0;17;0;;0;0;3;;0;0;0;;29;35;32;;10;12;11;;8;14;18;;11;7;3;;0;0;0;;
1420000;"Powiat płoński";136;147;137;;31;39;46;;64;80;71;;32;25;18;;9;3;0;;55;87;28;;8;18;5;;27;51;22;;14;18;0;;6;0;0;;81;60;109;;23;21;41;;37;29;49;;18;7;17;;3;3;0;;
1421000;"Powiat pruszkowski";665;866;1477;;100;155;323;;316;383;731;;146;149;240;;103;179;183;;366;545;1097;;34;76;256;;169;241;545;;94;96;165;;69;132;131;;299;321;380;;66;79;67;;147;142;186;;52;53;75;;34;47;52;;
1422000;"Powiat przasnyski";90;56;128;;23;16;18;;36;21;67;;29;17;40;;0;0;3;;43;4;51;;5;0;3;;17;0;29;;21;0;18;;0;0;0;;47;52;77;;18;16;15;;19;20;38;;8;16;22;;0;0;0;;
1423000;"Powiat przysuski";8;14;18;;0;4;7;;4;4;10;;3;5;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;8;14;18;;0;4;7;;4;4;10;;3;5;0;;0;0;0;;
1424000;"Powiat pułtuski";111;136;124;;36;28;29;;48;72;76;;25;33;17;;0;3;0;;71;83;68;;22;13;15;;35;48;48;;14;22;5;;0;0;0;;40;53;56;;14;15;14;;13;24;28;;11;11;12;;0;3;0;;
1425000;"Powiat radomski";51;48;99;;12;15;24;;30;23;54;;7;10;20;;0;0;0;;0;0;7;;0;0;0;;0;0;3;;0;0;3;;0;0;0;;51;48;92;;12;15;23;;30;23;51;;7;10;17;;0;0;0;;
1426000;"Powiat siedlecki";8;7;13;;3;0;3;;3;4;0;;0;0;3;;0;3;5;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;8;7;13;;3;0;3;;3;4;0;;0;0;3;;0;3;5;;
1427000;"Powiat sierpecki";51;48;109;;9;15;14;;31;21;81;;8;10;13;;3;0;0;;0;0;74;;0;0;5;;0;0;62;;0;0;7;;0;0;0;;51;48;35;;9;15;9;;31;21;19;;8;10;6;;3;0;0;;
1428000;"Powiat sochaczewski";108;135;154;;40;46;44;;43;59;73;;20;29;32;;5;0;5;;0;7;0;;0;3;0;;0;4;0;;0;0;0;;0;0;0;;106;128;153;;40;43;44;;41;55;73;;20;29;31;;5;0;5;;
1429000;"Powiat sokołowski";114;82;167;;25;13;32;;65;50;107;;22;19;25;;0;0;3;;38;46;40;;4;5;5;;23;29;23;;11;12;12;;0;0;0;;76;36;127;;21;8;27;;42;21;84;;11;7;13;;0;0;3;;
1430000;"Powiat szydłowiecki";18;22;54;;6;8;10;;9;10;27;;3;4;17;;0;0;0;;0;0;4;;0;0;3;;0;0;0;;0;0;0;;0;0;0;;18;20;50;;6;8;7;;9;8;26;;3;4;17;;0;0;0;;
1432000;"Powiat warszawski zachodni";550;286;474;;92;51;32;;246;120;131;;101;61;126;;111;54;185;;345;150;312;;60;24;14;;161;65;75;;56;31;94;;68;30;129;;205;136;162;;32;27;18;;85;55;56;;45;30;32;;43;24;56;;
1433000;"Powiat węgrowski";27;24;68;;6;7;10;;9;13;41;;12;3;14;;0;0;3;;4;0;41;;0;0;0;;0;0;32;;0;0;8;;0;0;0;;23;23;27;;5;7;9;;8;12;9;;10;3;6;;0;0;3;;
1434000;"Powiat wołomiński";1132;1535;1531;;178;207;235;;424;513;437;;288;438;524;;242;377;335;;649;1065;939;;84;99;92;;205;313;157;;191;340;411;;169;313;279;;483;470;592;;94;108;143;;219;200;280;;97;98;113;;73;64;56;;
1435000;"Powiat wyszkowski";58;139;128;;17;30;36;;31;67;52;;10;38;37;;0;4;3;;0;11;77;;0;0;20;;0;0;31;;0;11;25;;0;0;0;;57;128;51;;16;30;16;;31;67;21;;10;27;12;;0;4;0;;
1436000;"Powiat zwoleński";7;4;14;;3;0;3;;0;0;10;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;7;4;14;;3;0;3;;0;0;10;;0;0;0;;0;0;0;;
1437000;"Powiat żuromiński";29;87;56;;5;16;15;;19;46;21;;3;22;14;;0;3;6;;5;46;22;;0;5;9;;3;27;3;;0;13;6;;0;0;4;;24;41;34;;3;11;6;;16;19;18;;3;9;8;;0;0;0;;
1438000;"Powiat żyrardowski";164;183;301;;70;59;93;;64;90;157;;26;28;43;;4;6;8;;40;59;150;;10;15;29;;23;36;93;;7;5;21;;0;3;7;;124;124;151;;60;44;64;;41;54;64;;19;23;22;;4;3;0;;
1461000;"Powiat m.Ostrołęka";137;242;234;;35;51;50;;69;127;134;;31;58;40;;0;6;10;;25;111;117;;0;12;18;;12;65;81;;11;32;11;;0;0;7;;112;131;117;;33;39;32;;57;62;53;;20;26;29;;0;4;3;;
1462000;"Powiat m.Płock";599;611;851;;167;172;279;;285;316;400;;124;110;140;;23;13;32;;228;189;474;;33;26;131;;114;105;232;;67;52;93;;14;6;18;;371;422;377;;134;146;148;;171;211;168;;57;58;47;;9;7;14;;
1463000;"Powiat m.Radom";396;535;919;;83;140;224;;187;231;465;;102;126;202;;24;38;28;;158;157;323;;37;41;41;;74;48;163;;40;49;103;;7;19;16;;238;378;596;;46;99;183;;113;183;302;;62;77;99;;17;19;12;;
1464000;"Powiat m.Siedlce";676;726;694;;142;153;169;;350;409;370;;172;128;124;;12;36;31;;315;346;306;;70;71;59;;165;199;173;;76;62;55;;4;14;19;;361;380;388;;72;82;110;;185;210;197;;96;66;69;;8;22;12;;
1465000;"Powiat m. st. Warszawa";21912;24731;23289;;5322;5726;5626;;9622;11644;10499;;4240;4734;4694;;2728;2627;2470;;10571;12632;9523;;1954;2355;1919;;4939;6475;4466;;2313;2620;2176;;1365;1182;962;;11341;12099;13766;;3368;3371;3707;;4683;5169;6033;;1927;2114;2518;;1363;1445;1508;;
